,user_id,avg_time_difference,avg_time_difference_in_min,avg_time_difference_in_hours,followers_count,retweet_count,sentiment_score,sentiment,extreme_user
0,13508182,0 days 16:50:12.000000000,1010.2,16.837,147919,1,3,positive,0
1,14458945,0 days 01:22:35.000000000,82.58,1.376,282,0,4,positive,1
2,16263847,0 days 13:11:17.000000000,791.28,13.188,2613,1147,2,positive,0
3,16804541,0 days 11:39:55.500000000,699.92,11.665,12203,9,1,positive,0
4,16863403,0 days 13:34:30.000000000,814.5,13.575,664,1597,0,neutral,0
5,16967612,0 days 06:18:54.800000000,378.9,6.315,283338,95,2,positive,0
6,17303343,0 days 05:15:51.250000000,315.85,5.264,500,24,-2,negative,0
7,17700997,0 days 00:14:31.000000000,14.52,0.242,657,1,2,positive,1
8,17730421,0 days 00:00:26.500000000,0.43,0.007,5,27,0,neutral,1
9,17732518,0 days 02:27:29.666666666,147.48,2.458,2024,0,-1,negative,0
10,17781689,0 days 04:37:05.800000000,277.08,4.618,2663,125,-2,negative,0
11,17789776,0 days 01:31:34.000000000,91.57,1.526,2469,7,1,positive,0
12,17850606,0 days 06:52:23.333333333,412.38,6.873,348522,359,-1,negative,0
13,18445624,0 days 13:04:33.750000000,784.55,13.076,914,221,0,neutral,0
14,18662449,0 days 03:30:33.000000000,210.55,3.509,2979,563,1,positive,0
15,19060222,0 days 15:17:41.250000000,917.68,15.295,1153,1512,-1,negative,0
16,19905167,0 days 14:58:51.333333333,898.85,14.981,1007,650,1,positive,0
17,20322596,0 days 07:33:29.666666666,453.48,7.558,333,2315,1,positive,0
18,22004240,0 days 00:00:18.333333333,0.3,0.005,468,171,-1,negative,1
19,22066716,0 days 00:15:03.250000000,15.05,0.251,1504,1,-1,negative,1
20,24063332,0 days 09:51:29.666666666,591.48,9.858,163,1372,1,positive,0
21,25663562,0 days 06:27:10.000000000,387.17,6.453,12477,596,3,positive,0
22,26953218,0 days 14:39:41.750000000,879.68,14.661,531,657,-2,negative,0
23,27589316,0 days 00:02:54.636363636,2.9,0.048,100,8,1,positive,1
24,29184298,0 days 11:59:52.333333333,719.87,11.998,1858,821,1,positive,0
25,29411974,0 days 00:13:15.000000000,13.25,0.221,526,1,2,positive,1
26,29932100,0 days 17:41:19.500000000,1061.32,17.689,897,584,0,neutral,0
27,30000954,0 days 01:11:06.000000000,71.1,1.185,13,0,2,positive,1
28,31179161,0 days 00:12:51.333333333,12.85,0.214,1057,3,4,positive,1
29,32981486,0 days 06:26:31.444444444,386.52,6.442,6749,94,-1,negative,0
30,35173325,0 days 11:22:14.666666666,682.23,11.371,249,7,0,neutral,0
31,35421873,0 days 14:34:22.250000000,874.37,14.573,346,378,3,positive,0
32,36295435,0 days 06:22:20.818181818,382.33,6.372,2022,100,-2,negative,0
33,37365555,0 days 00:00:10.500000000,0.17,0.003,96,995,2,positive,1
34,39677454,0 days 16:45:41.333333333,1005.68,16.761,416,622,2,positive,0
35,41330576,0 days 01:10:28.833333333,70.47,1.174,436,21,1,positive,1
